,Player,Club,Goals,0
464,,,,4
465,,,,Sylvain Wiltord
466,,,,Arsenal FC
467,,,,3
468,,,,Sylvain Wiltord
469,,,,Olympique Lyonnais
470,,,,8
471,,,,Vincent Aboubakar
472,,,,Beşiktaş JK
473,,,,3
474,,,,Vincent Aboubakar
475,,,,FC Porto
476,,,,11
477,,,,Kingsley Coman
478,,,,Juventus
479,,,,0
480,,,,Kingsley Coman
481,,,,FC Bayern München
482,,,,14
483,,,,Kevin De Bruyne
484,,,,Manchester City FC
485,,,,14
486,,,,Serge Gnabry
487,,,,FC Bayern München
488,,,,14
489,,,,Javier Hernández
490,,,,Manchester United FC
491,,,,7
492,,,,Javier Hernández
493,,,,Real Madrid CF
494,,,,1
495,,,,Javier Hernández
496,,,,Bayer 04 Leverkusen
497,,,,6
498,,,,Klaas Jan Huntelaar
499,,,,FC Schalke 04
500,,,,13
501,,,,Klaas Jan Huntelaar
502,,,,AFC Ajax
503,,,,1
504,,,,Miroslav Klose
505,,,,SV Werder Bremen
506,,,,5
507,,,,Miroslav Klose
508,,,,FC Bayern München
509,,,,9
510,,,,Adriano
511,,,,FC Internazionale Milano
512,,,,14
513,,,,Kostas Mitroglou
514,,,,Olympiacos FC
515,,,,11
516,,,,Kostas Mitroglou
517,,,,SL Benfica
518,,,,3
519,,,,Bernardo Silva
520,,,,AS Monaco FC
521,,,,2
522,,,,Bernardo Silva
523,,,,Manchester City FC
524,,,,12
525,,,,Ronaldo
526,,,,FC Internazionale Milano
527,,,,1
528,,,,Ronaldo
529,,,,Real Madrid CF
530,,,,13
531,,,,Robert Pirès
532,,,,Olympique de Marseille
533,,,,2
534,,,,Robert Pirès
535,,,,Arsenal FC
536,,,,11
537,,,,Robert Pirès
538,,,,Villarreal CF
539,,,,1
540,,,,David Villa
541,,,,Valencia CF
542,,,,6
543,,,,David Villa
544,,,,FC Barcelona
545,,,,8
546,,,,Zinédine Zidane
547,,,,Juventus
548,,,,5
549,,,,Zinédine Zidane
550,,,,Real Madrid CF
551,,,,9
552,,,,Dimitar Berbatov
553,,,,Bayer 04 Leverkusen
554,,,,7
555,,,,Dimitar Berbatov
556,,,,Manchester United FC
557,,,,5
558,,,,Dimitar Berbatov
559,,,,AS Monaco FC
560,,,,1
561,,,,Peter Crouch
562,,,,Liverpool FC
563,,,,9
564,,,,Peter Crouch
565,,,,Tottenham Hotspur
566,,,,4
567,,,,Sonny Anderson
568,,,,FC Barcelona
569,,,,4
570,,,,Sonny Anderson
571,,,,Olympique Lyonnais
572,,,,9
573,,,,Deco
574,,,,FC Porto
575,,,,7
576,,,,Deco
577,,,,FC Barcelona
578,,,,6
579,,,,Carsten Jancker
580,,,,FC Bayern München
581,,,,13
582,,,,Jan Koller
583,,,,RSC Anderlecht
584,,,,3
585,,,,Jan Koller
586,,,,Borussia Dortmund
587,,,,10
588,,,,Fredrik Ljungberg
589,,,,Arsenal FC
590,,,,13
591,,,,Jackson Martínez
592,,,,FC Porto
593,,,,12
594,,,,Jackson Martínez
595,,,,Club Atlético de Madrid
596,,,,1
597,,,,Lukas Podolski
598,,,,FC Bayern München
599,,,,3
600,,,,Lukas Podolski
601,,,,Arsenal FC
602,,,,8
603,,,,Lukas Podolski
604,,,,Galatasaray AŞ
605,,,,2
606,,,,Hakan Şükür
607,,,,Galatasaray AŞ
608,,,,13
609,,,,Carlos Tévez
610,,,,Manchester United FC
611,,,,6
612,,,,Carlos Tévez
613,,,,Juventus
614,,,,7
615,,,,Burak Yılmaz
616,,,,Galatasaray AŞ
617,,,,10
618,,,,Burak Yılmaz
619,,,,LOSC Lille
620,,,,3
621,,,,Dani Alves
622,,,,Sevilla FC
623,,,,2
624,,,,Dani Alves
625,,,,FC Barcelona
626,,,,5
627,,,,Dani Alves
628,,,,Juventus
629,,,,3
630,,,,Dani Alves
631,,,,Paris Saint-Germain
632,,,,2
633,,,,Marco Asensio
634,,,,Real Madrid CF
635,,,,12
636,,,,Philippe Coutinho
637,,,,Liverpool FC
638,,,,5
639,,,,Philippe Coutinho
640,,,,FC Bayern München
641,,,,3
642,,,,Philippe Coutinho
643,,,,FC Barcelona
644,,,,4
645,,,,Radamel Falcao
646,,,,FC Porto
647,,,,4
648,,,,Radamel Falcao
649,,,,Chelsea FC
650,,,,0
651,,,,Radamel Falcao
652,,,,AS Monaco FC
653,,,,8
654,,,,Radamel Falcao
655,,,,Galatasaray AŞ
656,,,,0
657,,,,Mario Götze
658,,,,FC Bayern München
659,,,,9
660,,,,Mario Götze
661,,,,Borussia Dortmund
662,,,,3
663,,,,Mario Götze
664,,,,Eintracht Frankfurt
665,,,,0
666,,,,Roy Keane
667,,,,Manchester United FC
668,,,,12
669,,,,Walter Pandiani
670,,,,Real Club Deportivo La Coruña
671,,,,12
672,,,,Marcus Rashford
673,,,,Manchester United FC
674,,,,12
675,,,,Mehmet Scholl
676,,,,FC Bayern München
677,,,,12
678,,,,Bastian Schweinsteiger
679,,,,FC Bayern München
680,,,,12
681,,,,Bastian Schweinsteiger
682,,,,Manchester United FC
683,,,,0
684,,,,Paulo Sérgio
685,,,,FC Bayern München
686,,,,12
687,,,,Giovanni
688,,,,FC Barcelona
689,,,,4
690,,,,Giovanni
691,,,,Olympiacos FC
692,,,,8
693,,,,Wesley Sneijder
694,,,,AFC Ajax
695,,,,2
696,,,,Wesley Sneijder
697,,,,FC Internazionale Milano
698,,,,6
699,,,,Wesley Sneijder
700,,,,Galatasaray AŞ
701,,,,4
